"ID","items","support","transIdenticalToItemsets","count"
"1","{COMP6240,COMP6730}",0.358024691358025,0.283950617283951,29
"5","{COMP7240,COMP8430}",0.345679012345679,0,28
"2","{COMP8410,COMP8430}",0.333333333333333,0,27
"3","{COMP7240,COMP8410}",0.320987654320988,0,26
"8","{COMP7240,COMP8410,COMP8430}",0.320987654320988,0.185185185185185,26
"7","{COMP6730,COMP7240}",0.246913580246914,0.0493827160493827,20
"6","{COMP6730,COMP8430}",0.197530864197531,0,16
"11","{COMP6730,COMP7240,COMP8430}",0.160493827160494,0.0246913580246914,13
"4","{COMP6730,COMP8410}",0.148148148148148,0,12
"9","{COMP6730,COMP8410,COMP8430}",0.148148148148148,0,12
"10","{COMP6730,COMP7240,COMP8410}",0.135802469135802,0,11
"12","{COMP6730,COMP7240,COMP8410,COMP8430}",0.135802469135802,0.135802469135802,11
